mip,0.1,100,86,89243,0.124
mip,0.1,150,128,134481,0.141
mip,0.1,200,168,175732,0.247
mip,0.1,250,207,222402,0.392
mip,0.1,300,246,262650,0.568
mip,0.1,350,285,307935,0.82
mip,0.1,400,321,348174,1.072
mip,0.1,450,357,390924,1.305
mip,0.1,500,397,435556,1.659
mip,0.1,600,468,522394,2.464
mip,0.1,800,618,693159,4.326
mip,0.1,1000,755,870488,7.052
mip,0.1,1500,1107,1292541,17.259
mip,0.1,2000,1474,1724257,40.622
mip,0.1,2500,1809,2144045,70.457
mip,0.1,3042,2201,2610656,111.92
mip,0.2,100,62,57346,0.185
mip,0.2,150,97,87199,0.218
mip,0.2,200,125,114072,0.504
mip,0.2,250,153,143965,0.631
mip,0.2,300,177,169144,0.788
mip,0.2,350,204,197765,1.29
mip,0.2,400,230,223755,1.415
mip,0.2,450,255,250752,2.352
mip,0.2,500,282,278990,3.091
mip,0.2,600,331,333132,3.923
mip,0.2,800,423,440189,7.679
mip,0.2,1000,516,550694,13.781
mip,0.2,1500,722,812562,40.466
mip,0.2,2000,932,1081288,66.836
mip,0.2,2500,1125,1341275,126.579
mip,0.2,3042,1337,1629783,175.158
mip,0.3,100,52,44674,0.259
mip,0.3,150,77,67960,0.354
mip,0.3,200,99,88689,0.651
mip,0.3,250,123,111368,0.721
mip,0.3,300,135,129442,1.227
mip,0.3,350,152,151116,2.089
mip,0.3,400,165,170286,3.075
mip,0.3,450,181,190507,4.316
mip,0.3,500,206,212272,5.32
mip,0.3,600,239,252142,7.716
mip,0.3,800,288,330408,12.768
mip,0.3,1000,352,412623,24.323
mip,0.3,1500,461,602447,66.771
mip,0.3,2000,564,795523,137.895
mip,0.3,2500,664,982418,276.757
mip,0.3,3042,762,1189312,419.858
mip,0.4,100,42,37124,0.235
mip,0.4,150,64,56605,0.504
mip,0.4,200,81,73691,0.667
mip,0.4,250,99,92038,1.169
mip,0.4,300,107,105956,1.942
mip,0.4,350,124,123482,2.95
mip,0.4,400,130,138026,4.746
mip,0.4,450,140,154013,6.168
mip,0.4,500,151,171179,7.655
mip,0.4,600,170,202732,12.335
mip,0.4,800,198,262794,25.875
mip,0.4,1000,233,326996,41.168
mip,0.4,1500,298,473522,115.786
mip,0.4,2000,363,622534,266.529
mip,0.4,2500,422,767463,630.619
mip,0.4,3042,514,932929,643.65
