greedy,0.1,100,10,1400,0.022
greedy_fine,0.1,100,10,1400,0.145
greedy,0.1,150,12,1680,0.005
greedy_fine,0.1,150,12,1680,0.189
greedy,0.1,200,13,1820,0.007
greedy_fine,0.1,200,13,1820,0.483
greedy,0.1,250,15,2100,0.006
greedy_fine,0.1,250,15,2100,0.392
greedy,0.1,300,16,2240,0.007
greedy_fine,0.1,300,16,2240,0.877
greedy,0.1,350,16,2240,0.008
greedy_fine,0.1,350,16,2240,0.675
greedy,0.1,400,16,2240,0.011
greedy_fine,0.1,400,16,2240,1.495
greedy,0.1,450,18,2520,0.016
greedy_fine,0.1,450,18,2520,2.26
greedy,0.1,500,19,2660,0.016
greedy_fine,0.1,500,19,2660,1.699
greedy,0.1,600,23,3220,0.073
greedy_fine,0.1,600,23,3220,1.457
greedy,0.1,800,22,3080,0.126
greedy_fine,0.1,800,22,3080,3.207
greedy,0.1,1000,29,4060,0.228
greedy_fine,0.1,1000,29,4060,3.202
greedy,0.1,1500,36,5040,0.201
greedy_fine,0.1,1500,36,5040,2.999
greedy,0.1,2000,40,5600,0.4
greedy_fine,0.1,2000,40,5600,6.032
greedy,0.1,2500,49,6860,0.619
greedy_fine,0.1,2500,49,6860,11.185
greedy,0.1,3042,55,7700,0.77
greedy_fine,0.1,3042,55,7700,12.776

greedy,0.2,100,3,420,0.019
greedy_fine,0.2,100,3,420,0.175
greedy,0.2,150,5,700,0.003
greedy_fine,0.2,150,5,700,0.288
greedy,0.2,200,5,700,0.004
greedy_fine,0.2,200,5,700,0.653
greedy,0.2,250,6,840,0.005
greedy_fine,0.2,250,6,840,0.945
greedy,0.2,300,6,840,0.007
greedy_fine,0.2,300,6,840,2.003
greedy,0.2,350,7,980,0.008
greedy_fine,0.2,350,7,980,1.35
greedy,0.2,400,7,980,0.011
greedy_fine,0.2,400,7,980,3.738
greedy,0.2,450,10,1400,0.012
greedy_fine,0.2,450,10,1400,7.093
greedy,0.2,500,11,1540,0.015
greedy_fine,0.2,500,11,1540,11.049
greedy,0.2,600,12,1680,0.022
greedy_fine,0.2,600,12,1680,16.822
greedy,0.2,800,13,1820,0.176
greedy_fine,0.2,800,13,1820,24.868
greedy,0.2,1000,18,2520,0.197
greedy_fine,0.2,1000,18,2520,5.352
greedy,0.2,1500,23,3220,0.299
greedy_fine,0.2,1500,23,3220,8.798
greedy,0.2,2000,24,3360,0.431
greedy_fine,0.2,2000,24,3360,15.535
greedy,0.2,2500,29,4060,0.599
greedy_fine,0.2,2500,29,4060,9.7
greedy,0.2,3042,33,4620,0.86
greedy_fine,0.2,3042,33,4620,27.563

greedy,0.2,100,41,5740,0.028
greedy_fine,0.2,100,41,5740,0.06
greedy,0.2,150,59,8260,0.013
greedy_fine,0.2,150,59,8260,0.038
greedy,0.2,200,76,10640,0.021
greedy_fine,0.2,200,76,10640,0.052
greedy,0.2,250,91,12740,0.033
greedy_fine,0.2,250,91,12740,0.074
greedy,0.2,300,103,14420,0.038
greedy_fine,0.2,300,103,14420,0.088
greedy,0.2,350,120,16800,0.053
greedy_fine,0.2,350,120,16800,0.12
greedy,0.2,400,130,18200,0.068
greedy_fine,0.2,400,130,18200,0.157
greedy,0.2,450,141,19740,0.11
greedy_fine,0.2,450,141,19740,0.209
greedy,0.2,500,153,21420,0.105



greedy,0.2,100,41,5740,0.056
greedy_fine,0.2,100,41,5740,0.123
greedy,0.2,150,59,8260,0.022
greedy_fine,0.2,150,59,8260,0.092
greedy,0.2,200,76,10640,0.021
greedy_fine,0.2,200,76,10640,0.132
greedy,0.2,250,91,12740,0.029
greedy_fine,0.2,250,91,12740,0.195
greedy,0.2,300,103,14420,0.037
greedy_fine,0.2,300,103,14420,0.209
greedy,0.2,350,120,16800,0.052
greedy_fine,0.2,350,120,16800,0.318
greedy,0.2,400,130,18200,0.064
greedy_fine,0.2,400,130,18200,0.553
greedy,0.2,450,141,19740,0.082
greedy_fine,0.2,450,141,19740,0.646
greedy,0.2,500,153,21420,0.103
greedy_fine,0.2,500,153,21420,0.849
greedy,0.2,600,177,24780,0.154
greedy_fine,0.2,600,177,24780,1.268
greedy,0.2,800,221,30940,0.353
greedy_fine,0.2,800,221,30940,1.657
greedy,0.2,1000,269,37660,0.7
greedy_fine,0.2,1000,269,37660,2.268
greedy,0.2,1500,364,50960,1.647
greedy_fine,0.2,1500,364,50960,3.781
greedy,0.2,2000,453,63420,3.234
greedy_fine,0.2,2000,453,63420,6.854
greedy,0.2,2500,546,76440,5.617
greedy_fine,0.2,2500,546,76440,9.817
greedy,0.2,3042,636,89040,8.544
greedy_fine,0.2,3042,636,89040,13.289


greedy,0.1,100,51,7140,0.036
greedy_fine,0.1,100,51,7140,0.094
greedy,0.1,150,77,10780,0.025
greedy_fine,0.1,150,77,10780,0.101
greedy,0.1,200,94,13160,0.033
greedy_fine,0.1,200,94,13160,0.096
greedy,0.1,250,115,16100,0.043
greedy_fine,0.1,250,115,16100,0.22
greedy,0.1,300,132,18480,0.061
greedy_fine,0.1,300,132,18480,0.253
greedy,0.1,350,153,21420,0.085
greedy_fine,0.1,350,153,21420,0.31
greedy,0.1,400,169,23660,0.109
greedy_fine,0.1,400,169,23660,0.454
greedy,0.1,450,190,26600,0.146
greedy_fine,0.1,450,190,26600,0.595
greedy,0.1,500,206,28840,0.213
greedy_fine,0.1,500,206,28840,0.816
greedy,0.1,600,235,32900,0.312
greedy_fine,0.1,600,235,32900,1.134
greedy,0.1,800,304,42560,0.661
greedy_fine,0.1,800,304,42560,1.806
greedy,0.1,1000,374,52360,1.325
greedy_fine,0.1,1000,374,52360,2.73
greedy,0.1,1500,525,73500,3.35
greedy_fine,0.1,1500,525,73500,5.317
greedy,0.1,2000,661,92540,6.617
greedy_fine,0.1,2000,661,92540,9.279
greedy,0.1,2500,794,111160,11.138
greedy_fine,0.1,2500,794,111160,14.73
greedy,0.1,3042,940,131600,19.769
greedy_fine,0.1,3042,940,131600,24.032



greedy,0.1,100,51,7140,0.038
greedy_fine,0.1,100,51,7140,0.179
greedy,0.1,150,77,10780,0.022
greedy_fine,0.1,150,77,10780,0.091
greedy,0.1,200,94,13160,0.03
greedy_fine,0.1,200,94,13160,0.12
greedy,0.1,250,115,16100,0.041
greedy_fine,0.1,250,115,16100,0.163
greedy,0.1,300,132,18480,0.056
greedy_fine,0.1,300,132,18480,0.211
greedy,0.1,350,153,21420,0.107
greedy_fine,0.1,350,153,21420,0.341
greedy,0.1,400,169,23660,0.109
greedy_fine,0.1,400,169,23660,0.417
greedy,0.1,450,190,26600,0.169
greedy_fine,0.1,450,190,26600,0.612
greedy,0.1,500,206,28840,0.216
greedy_fine,0.1,500,206,28840,0.81
greedy,0.1,600,235,32900,0.308
greedy_fine,0.1,600,235,32900,1.093
greedy,0.1,800,304,42560,0.68
greedy_fine,0.1,800,304,42560,1.692
greedy,0.1,1000,374,52360,1.266
greedy_fine,0.1,1000,374,52360,2.586
greedy,0.1,1500,525,73500,3.345
greedy_fine,0.1,1500,525,73500,5.409
greedy,0.1,2000,661,92540,6.463
greedy_fine,0.1,2000,661,92540,9.105
greedy,0.1,2500,794,111160,10.924
greedy_fine,0.1,2500,794,111160,14.095
greedy,0.1,3042,940,131600,18.373
greedy_fine,0.1,3042,940,131600,22.557



greedy,0.1,100,10,1400,0.022
greedy_fine,0.1,100,10,1400,0.102
greedy,0.1,150,12,1680,0.007
greedy_fine,0.1,150,12,1680,0.159
greedy,0.1,200,13,1820,0.007
greedy_fine,0.1,200,13,1820,0.444
greedy,0.1,250,15,2100,0.005
greedy_fine,0.1,250,15,2100,0.364
greedy,0.1,300,16,2240,0.007
greedy_fine,0.1,300,16,2240,0.853
greedy,0.1,350,16,2240,0.009
greedy_fine,0.1,350,16,2240,0.633
greedy,0.1,400,16,2240,0.012
greedy_fine,0.1,400,16,2240,1.5
greedy,0.1,450,18,2520,0.014
greedy_fine,0.1,450,18,2520,2.056
greedy,0.1,500,19,2660,0.018
greedy_fine,0.1,500,19,2660,1.722
greedy,0.1,600,23,3220,0.031
greedy_fine,0.1,600,23,3220,1.522
greedy,0.1,800,22,3080,0.121
greedy_fine,0.1,800,22,3080,3.06
greedy,0.1,1000,29,4060,0.064
greedy_fine,0.1,1000,29,4060,3.156
greedy,0.1,1500,36,5040,0.256
greedy_fine,0.1,1500,36,5040,3.032
greedy,0.1,2000,40,5600,0.368
greedy_fine,0.1,2000,40,5600,6.401
greedy,0.1,2500,49,6860,0.539
greedy_fine,0.1,2500,49,6860,10.256
greedy,0.1,3042,55,7700,0.86
greedy_fine,0.1,3042,55,7700,13.233
greedy,0.1,100,10,1400,0.02
greedy_fine,0.1,100,10,1400,0.105
greedy,0.1,150,12,1680,0.005
greedy_fine,0.1,150,12,1680,0.171
greedy,0.1,200,13,1820,0.007
greedy_fine,0.1,200,13,1820,0.444
greedy,0.1,250,15,2100,0.006
greedy_fine,0.1,250,15,2100,0.363
greedy,0.1,300,16,2240,0.007
greedy_fine,0.1,300,16,2240,1.063
greedy,0.1,350,16,2240,0.009
greedy,0.1,100,51,7140,0.033
greedy_fine,0.1,100,51,7140,0.086
greedy,0.1,150,77,10780,0.029
greedy_fine,0.1,150,77,10780,0.098
greedy,0.1,200,94,13160,0.032
greedy_fine,0.1,200,94,13160,0.128
greedy,0.1,250,115,16100,0.041
greedy_fine,0.1,250,115,16100,0.192
greedy,0.1,300,132,18480,0.057
greedy_fine,0.1,300,132,18480,0.211
greedy,0.1,350,153,21420,0.084
greedy_fine,0.1,350,153,21420,0.394
greedy,0.1,400,169,23660,0.108
greedy_fine,0.1,400,169,23660,0.42
greedy,0.1,450,190,26600,0.17
greedy_fine,0.1,450,190,26600,0.63
greedy,0.1,500,206,28840,0.215
greedy_fine,0.1,500,206,28840,0.789
greedy,0.1,600,235,32900,0.312
greedy_fine,0.1,600,235,32900,1.174
greedy,0.1,800,304,42560,0.678
greedy_fine,0.1,800,304,42560,1.711
greedy,0.1,1000,374,52360,1.301




greedy,0.1,100,10,1400,0.031
greedy_fine,0.1,100,10,1400,0.114
greedy,0.1,150,12,1680,0.003
greedy_fine,0.1,150,12,1680,0.174
greedy,0.1,200,13,1820,0.005
greedy_fine,0.1,200,13,1820,0.476
greedy,0.1,250,15,2100,0.006
greedy_fine,0.1,250,15,2100,0.383
greedy,0.1,300,16,2240,0.007
greedy_fine,0.1,300,16,2240,1.017
greedy,0.1,350,16,2240,0.011
greedy_fine,0.1,350,16,2240,0.752
greedy,0.1,400,16,2240,0.012
greedy_fine,0.1,400,16,2240,1.224
greedy,0.1,450,18,2520,0.014
greedy_fine,0.1,450,18,2520,2.052
greedy,0.1,500,19,2660,0.02
greedy_fine,0.1,500,19,2660,1.934
greedy,0.1,600,23,3220,0.075
greedy_fine,0.1,600,23,3220,1.602
greedy,0.1,800,22,3080,0.055
greedy_fine,0.1,800,22,3080,3.162
greedy,0.1,1000,29,4060,0.066
greedy_fine,0.1,1000,29,4060,3.192
greedy,0.1,1500,36,5040,0.216
greedy_fine,0.1,1500,36,5040,2.94
greedy,0.1,2000,40,5600,0.481
greedy_fine,0.1,2000,40,5600,5.975
greedy,0.1,2500,49,6860,0.657
greedy_fine,0.1,2500,49,6860,11.356
greedy,0.1,3042,55,7700,0.847
greedy_fine,0.1,3042,55,7700,13.149

greedy,0.1,100,10,1400,0.016
greedy_fine,0.1,100,10,1400,0.149
greedy,0.1,150,12,1680,0.003
greedy_fine,0.1,150,12,1680,0.252
greedy,0.1,200,13,1820,0.003
greedy_fine,0.1,200,13,1820,0.443
greedy,0.1,250,15,2100,0.005
greedy_fine,0.1,250,15,2100,0.463
greedy,0.1,300,16,2240,0.008
greedy_fine,0.1,300,16,2240,0.867
greedy,0.1,350,16,2240,0.011
greedy_fine,0.1,350,16,2240,0.838
greedy,0.1,400,16,2240,0.011
greedy_fine,0.1,400,16,2240,1.376
greedy,0.1,450,18,2520,0.015
greedy_fine,0.1,450,18,2520,1.463
greedy,0.1,500,19,2660,0.018
greedy_fine,0.1,500,19,2660,2.154
greedy,0.1,600,23,3220,0.026
greedy_fine,0.1,600,23,3220,2.956
greedy,0.1,800,22,3080,0.049
greedy_fine,0.1,800,22,3080,3.597
greedy,0.1,1000,29,4060,0.069
greedy_fine,0.1,1000,29,4060,3.565
greedy,0.1,1500,36,5040,0.172
greedy_fine,0.1,1500,36,5040,4.889
greedy,0.1,2000,40,5600,0.416
greedy_fine,0.1,2000,40,5600,8.556
greedy,0.1,2500,49,6860,0.604
greedy_fine,0.1,2500,49,6860,10.186
greedy,0.1,3042,55,7700,0.861
greedy_fine,0.1,3042,55,7700,11.364

greedy,0.2,100,3,420,0.021
greedy_fine,0.2,100,3,420,0.153
greedy,0.2,150,5,700,0.003
greedy_fine,0.2,150,5,700,0.126
greedy,0.2,200,5,700,0.003
greedy_fine,0.2,200,5,700,0.293
greedy,0.2,250,6,840,0.004
greedy_fine,0.2,250,6,840,0.317
greedy,0.2,300,6,840,0.007
greedy_fine,0.2,300,6,840,0.673
greedy,0.2,350,7,980,0.009
greedy_fine,0.2,350,7,980,0.85
greedy,0.2,400,7,980,0.011
greedy_fine,0.2,400,7,980,1.442
greedy,0.2,450,10,1400,0.016
greedy_fine,0.2,450,10,1400,2.378
greedy,0.2,500,11,1540,0.015
greedy_fine,0.2,500,11,1540,4.138
greedy,0.2,600,12,1680,0.023
greedy_fine,0.2,600,12,1680,6.207
greedy,0.2,800,13,1820,0.045
greedy_fine,0.2,800,13,1820,10.172
greedy,0.2,1000,18,2520,0.229
greedy_fine,0.2,1000,18,2520,4.85
greedy,0.2,1500,23,3220,0.15
greedy_fine,0.2,1500,23,3220,6.209
greedy,0.2,2000,24,3360,0.415
greedy_fine,0.2,2000,24,3360,15.936
greedy,0.2,2500,29,4060,0.494
greedy_fine,0.2,2500,29,4060,7.302
greedy,0.2,3042,33,4620,0.692
greedy_fine,0.2,3042,33,4620,17.724


greedy_avg,0.2,100,3,420,0.234
greedy_avg,0.2,150,5,700,0.429
greedy_avg,0.2,200,5,700,0.689
greedy_avg,0.2,250,6,840,1.07
greedy_avg,0.2,300,6,840,1.438
greedy_avg,0.2,350,7,980,1.966
greedy_avg,0.2,400,7,980,2.56
greedy_avg,0.2,450,10,1400,3.203
greedy_avg,0.2,500,11,1540,4.016
greedy_avg,0.2,600,12,1680,5.778
greedy_avg,0.2,800,13,1820,10.265
greedy_avg,0.2,1000,18,2520,16.485
greedy_avg,0.2,1500,23,3220,36.809
greedy_avg,0.2,2000,24,3360,66.407
greedy_avg,0.2,2500,29,4060,105.006
greedy_avg,0.2,3042,33,4620,159.679



greedy_avg,0.2,100,3,420,0.617
greedy_avg,0.2,150,5,700,1.063
greedy_avg,0.2,200,5,700,1.984
greedy_avg,0.2,250,6,840,3.476
greedy_avg,0.2,300,6,840,4.498
greedy_avg,0.2,350,7,980,6.068
greedy_avg,0.2,400,7,980,8.323
greedy_avg,0.2,450,10,1400,9.659
greedy_avg,0.2,500,11,1540,12.432

greedy_avg,0.2,100,3,420,0.391
greedy_avg,0.2,150,5,700,0.671
greedy_avg,0.2,200,5,700,1.147
greedy_avg,0.2,250,6,840,1.317
greedy_avg,0.2,300,6,840,1.463
greedy_avg,0.2,350,7,980,1.984
greedy_avg,0.2,400,7,980,2.555
greedy_avg,0.2,450,10,1400,3.267
greedy_avg,0.2,500,11,1540,4.21
greedy_avg,0.2,600,12,1680,5.897
greedy_avg,0.2,800,13,1820,10.645
greedy_avg,0.2,1000,18,2520,16.579
greedy_avg,0.2,1500,23,3220,35.272
greedy_avg,0.2,2000,24,3360,63.903


greedy,0.1,100,10,1400,263.888
greedy_fine,0.1,100,10,1400,264.597
greedy,0.1,150,13,1820,254.124
greedy_fine,0.1,150,13,1820,255.196
greedy,0.1,200,12,1680,818.623
